X    Y   fi  V   gam
5    5   0   0   0
4.75006    5   -0.0721832   -4.9989   0.281147
4.50076    5.01803   -0.144366   -4.9989   0.281147
4.25342    5.05398   -0.21655   -4.9989   0.281147
4.00931    5.10769   -0.288733   -4.9989   0.281147
3.77005    5.17876   -0.212103   -4.99191   -0.297882
3.52604    5.2313   -0.135472   -4.99191   -0.297882
3.27873    5.26501   -0.0588422   -4.99191   -0.297882
3.02957    5.27969   0.017788   -4.99191   -0.297882
2.77965    5.27524   0.0912378   -4.99927   -0.285798
2.53072    5.25247   0.164688   -4.99927   -0.285798
2.28414    5.21149   0.238137   -4.99927   -0.285798
2.04123    5.15252   0.311587   -4.99927   -0.285798
1.80324    5.07587   0.388841   -5.00059   -0.299674
1.57188    4.98108   0.466095   -5.00059   -0.299674
1.34852    4.86872   0.543349   -5.00059   -0.299674
1.1345    4.73945   0.620603   -5.00059   -0.299674
0.931193    4.59413   0.695478   -4.99814   -0.2911
0.739327    4.434   0.770353   -4.99814   -0.2911
0.559977    4.25996   0.845228   -4.99814   -0.2911
0.394149    4.073   0.920103   -4.99814   -0.2911
0.2428    3.8742   0.996766   -4.99716   -0.297708
0.107122    3.66439   1.07343   -4.99716   -0.297708
-0.0120889    3.4448   1.15009   -4.99716   -0.297708
-0.114132    3.21673   1.22676   -4.99716   -0.297708
-0.19849    2.98129   1.29843   -5.00208   -0.279089
-0.265772    2.7404   1.3701   -5.00208   -0.279089
-0.315631    2.49532   1.44177   -5.00208   -0.279089
-0.347811    2.24729   1.51344   -5.00208   -0.279089
-0.362137    1.99778   1.57672   -4.99846   -0.247993
-0.360656    1.74786   1.64001   -4.99846   -0.247993
-0.343372    1.49854   1.70329   -4.99846   -0.247993
-0.310356    1.2508   1.76657   -4.99846   -0.247993
-0.261781    1.00586   1.69426   -4.99427   0.28185
-0.231028    0.758047   1.62196   -4.99427   0.28185
-0.218258    0.50866   1.54965   -4.99427   0.28185
