X    Y   fi
5    5   0
5.00342    5   -0.00010815
5.00684    5   -0.0002163
5.01026    5   -0.00032445
5.01368    5   -0.0004326
5.01709    5   -0.00054075
5.02051    4.99999   -0.0006489
5.02393    4.99999   -0.00075705
5.02735    4.99999   -0.000865199
5.03077    4.99999   -0.000973349
5.03419    4.99998   -0.0010815
5.03761    4.99998   -0.00118965
5.04103    4.99998   -0.0012978
5.04445    4.99997   -0.00140595
5.04786    4.99997   -0.0015141
5.05128    4.99996   -0.00162225
5.0547    4.99996   -0.0017304
5.05812    4.99995   -0.00183855
5.06154    4.99994   -0.0019467
5.06496    4.99994   -0.00205485
5.06838    4.99993   -0.002163
