X  Y  U1  U2  U3  U4  UG1  UG2  UG3  UG4
5  5  0  0  0  0  0  0  0  0
4.98865  4.9804  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.96679  4.96374  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.93544  4.95125  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.89519  4.94348  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.84768  4.93592  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.79326  4.92835  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.73202  4.92105  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.66399  4.91437  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.58916  4.90868  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.50757  4.90442  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.41921  4.90204  -10.5081  -10.0032  -9.7883  -9.43342  0.284112  -0.508221  -1.25606  -0.764741
4.32428  4.90209  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
4.22587  4.90297  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
4.1256  4.90506  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
4.02316  4.91088  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
3.91831  4.9141  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
3.80979  4.919  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
3.69771  4.92518  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
3.58191  4.93244  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
3.46229  4.94059  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
3.33876  4.94951  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
3.21128  4.95905  -9.99804  -9.37539  -9.276  -10.3832  0.109169  -0.118519  -0.352056  -4.78811
